departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_171;false;AUH;2019-10-31;02:20;EY;null;CDG;2019-10-31;07:00;[(AF-3801)];null;null;null;null;null;null;CDG;2019-10-31;16:55;KL;2016;AMS;2019-10-31;18:20;[(AF-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_171;false;AUH;2019-10-31;02:20;AF;3801;CDG;2019-10-31;07:00;[(EY-null)];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;null;AMS;2019-10-31;18:20;[(KL-2016)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_171;false;AUH;2019-10-31;02:20;EY;null;CDG;2019-10-31;07:00;[(AF-3801)];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;null;AMS;2019-10-31;18:20;[(KL-2016)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_172;false;AUH;2019-10-31;02:20;EY;31;CDG;2019-10-31;07:00;[];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;1140;AMS;2019-10-31;18:20;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_173;false;AUH;2019-10-31;02:20;EY;31;CDG;2019-10-31;07:00;[];null;null;null;null;null;null;CDG;2019-10-31;16:55;KL;2016;AMS;2019-10-31;18:20;[(AF-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_173;false;AUH;2019-10-31;02:20;EY;31;CDG;2019-10-31;07:00;[];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;null;AMS;2019-10-31;18:20;[(KL-2016)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_174;false;AUH;2019-10-31;02:05;BA;72;LHR;2019-10-31;06:15;[];null;null;null;null;null;null;LHR;2019-10-31;16:25;BA;440;AMS;2019-10-31;18:45;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_175;false;AUH;2019-10-31;02:15;EY;45;DUB;2019-10-31;06:45;[];null;null;null;null;null;null;DUB;2019-10-31;13:20;EI;608;AMS;2019-10-31;16:05;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_176;false;AUH;2019-10-31;02:15;UX;2736;BCN;2019-10-31;06:50;[(EY-null)];null;null;null;null;null;null;BCN;2019-10-31;15:45;IB;5304;AMS;2019-10-31;18:15;[(VY-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_176;false;AUH;2019-10-31;02:15;EY;null;BCN;2019-10-31;06:50;[(UX-2736)];null;null;null;null;null;null;BCN;2019-10-31;15:45;IB;5304;AMS;2019-10-31;18:15;[(VY-null)];null;null;null;null;null;null;
